episode,status,runtime,reward,collisions_agent,collisions_obs,success
142,Obstacle Collision,253.18,-1.367,0,1,0
143,Obstacle Collision,254.78,-5.567,0,1,0
144,Success,257.84,-2.661,0,0,1
145,Success,258.77,-0.033,0,0,1
146,Success,261.61,-0.083,0,0,1
147,Success,262.21,-0.022,0,0,1
148,Success,264.64,-0.067,0,0,1
149,Obstacle Collision,267.59,-2.289,0,1,0
150,Success,269.15,-0.072,0,0,1
151,Success,271.67,-0.072,0,0,1
152,Obstacle Collision,272.35,-1.267,0,1,0
153,Agent Collision,275.55,-6.15,1,0,0
154,Obstacle Collision,276.47,-2.983,0,1,0
155,Success,278.07,-0.067,0,0,1
156,Success,280.92,-0.95,0,0,1
157,Obstacle Collision,281.96,-1.317,0,1,0
158,Obstacle Collision,283.51,-0.932,0,1,0
159,Success,285.21,-0.056,0,0,1
160,Success,287.69,-0.078,0,0,1
161,Success,289.16,-1.761,0,0,1
162,Success,291.74,-0.117,0,0,1
163,Obstacle Collision,294.64,-1.217,0,1,0
164,Success,297.01,-0.094,0,0,1
165,Success,298.41,-0.044,0,0,1
166,Success,300.43,-0.067,0,0,1
167,Obstacle Collision,301.33,-2.128,0,1,0
168,Success,303.8,-0.078,0,0,1
169,Obstacle Collision,304.72,-1.272,0,1,0
170,Success,305.92,-0.044,0,0,1
171,Success,307.18,-0.044,0,0,1
172,Success,309.12,-0.083,0,0,1
173,Obstacle Collision,309.55,-1.261,0,1,0
174,Success,312.13,-0.078,0,0,1
175,Success,315.22,-0.089,0,0,1
176,Success,317.11,-0.072,0,0,1
177,Obstacle Collision,317.78,-1.267,0,1,0
178,Success,319.53,-0.056,0,0,1
179,Success,321.24,-0.078,0,0,1
180,Success,323.02,-0.05,0,0,1
181,Obstacle Collision,324.07,-2.139,0,1,0
182,Success,326.02,-0.056,0,0,1
183,Obstacle Collision,327.47,-5.567,0,1,0
184,Obstacle Collision,328.21,-1.05,0,1,0
185,Obstacle Collision,329.36,-0.95,0,1,0
186,Success,330.92,-0.067,0,0,1
187,Success,331.92,-0.039,0,0,1
188,Obstacle Collision,332.55,-1.267,0,1,0
189,Success,334.63,-0.067,0,0,1
190,Success,338.17,-0.95,0,0,1
191,Success,340.21,-0.089,0,0,1
192,Success,342.59,-0.089,0,0,1
193,Agent Collision,344.74,-0.917,1,0,0
194,Obstacle Collision,345.91,-1.283,0,1,0
195,Success,348.07,-0.061,0,0,1
196,Success,349.7,-0.056,0,0,1
197,Obstacle Collision,350.55,-1.272,0,1,0
198,Obstacle Collision,351.24,-1.272,0,1,0
